CUSTOMERID,CUSTOMERNAME,CONTACTLASTNAME,CONTACTFIRSTNAME,PHONE,ADDRESSLINE1,CITY,STATE,POSTALCODE,COUNTRY
62,Online Diecast Creations Co.,Young,Valarie,6035558647,2304 Long Airport Avenue,Nashua,NH,62005,USA
14,"Blauer See Auto, Co.",Keitel,Roland,+49 69 66 90 2555,Lyonerstr. 34,Frankfurt,,60528,Germany
90,Vitachrome Inc.,Frick,Michael,2125551500,2678 Kingston Rd.,NYC,NY,10022,USA
12,Baane Mini Imports,Bergulfsen,Jonas,07-98 9555,Erling Skakkes gate 78,Stavern,,4110,Norway
34,Euro Shopping Channel,Freyre,Diego,(91) 555 94 44,"C/ Moralzarzal, 86",Madrid,,28034,Spain
28,Danish Wholesale Imports,Petersen,Jytte,31 12 3555,Vinb'ltet 34,Kobenhavn,,1734,Denmark
69,Rovelli Gifts,Rovelli,Giovanni,035-640555,Via Ludovico il Moro 22,Bergamo,,24100,Italy
47,Land of Toys Inc.,Yu,Kwai,2125557818,897 Long Airport Avenue,NYC,NY,10022,USA
26,Cruz & Sons Co.,Cruz,Arnold,+63 2 555 3587,15 McCallum Street - NatWest Center #13-03,Makati City,,1227 MM,Philippines
59,Motor Mint Distributors Inc.,Hernandez,Rosa,2155559857,11328 Douglas Av.,Philadelphia,PA,71270,USA
11,"AV Stores, Co.",Ashworth,Victoria,(171) 555-1555,Fauntleroy Circus,Manchester,,EC2 5NT,UK
58,Mini Wheels Co.,Murphy,Julie,6505555787,5557 North Pendale Street,San Francisco,CA,,USA
91,"Volvo Model Replicas, Co",Berglund,Christina,0921-12 3555,Berguvsv„gen  8,Lule,,S-958 22,Sweden
57,Mini Gifts Distributors Ltd.,Nelson,Valarie,4155551450,5677 Strong St.,San Rafael,CA,97562,USA
45,"La Corne D'abondance, Co.",Bertrand,Marie,(1) 42.34.2555,"265, boulevard Charonne",Paris,,75012,France
20,Classic Legends Inc.,Hernandez,Maria,2125558493,5905 Pompton St.,NYC,NY,10022,USA
71,Royale Belge,Cartrain,Pascale,(071) 23 67 2555,"Boulevard Tirou, 255",Charleroi,,B-6000,Belgium
32,"Dragon Souveniers, Ltd.",Natividad,Eric,+65 221 7555,"Bronz Sok., Bronz Apt. 3/6 Tesvikiye",Singapore,,79903,Singapore
33,Enaco Distributors,Saavedra,Eduardo,(93) 203 4555,"Rambla de Catalu¤a, 23",Barcelona,,8022,Spain
72,Salzburg Collectables,Pipps,Georg,6562-9555,Geislweg 14,Salzburg,,5020,Austria
6,"Australian Collectors, Co.",Ferguson,Peter,03 9520 4555,636 St Kilda Road,Melbourne,Victoria,3004,Australia
68,Reims Collectables,Henriot,Paul,26.47.1555,59 rue de l'Abbaye,Reims,,51100,France
49,Marseille Mini Autos,Lebihan,Laurence,91.24.4555,"12, rue des Bouchers",Marseille,,13008,France
4,Atelier graphique,Schmitt,Carine,40.32.2555,"54, rue Royale",Nantes,,44000,France
76,Signal Gift Stores,King,Sue,7025551838,8489 Strong St.,Las Vegas,NV,83030,USA
25,"Corrida Auto Replicas, Ltd",Sommer,Mart¡n,(91) 555 22 82,"C/ Araquil, 67",Madrid,,28023,Spain
60,Muscle Machine Inc,Young,Jeff,2125557413,4092 Furth Circle,NYC,NY,10022,USA
78,"Stylish Desk Decors, Co.",Brown,Ann,(171) 555-0297,35 King George,London,,WX3 6FW,UK
10,Auto-Moto Classics Inc.,Taylor,Leslie,6175558428,16780 Pompton St.,Brickhaven,MA,58339,USA
37,Gift Ideas Corp.,Lewis,Dan,2035554407,2440 Pompton St.,Glendale,CT,97561,USA
48,Lyon Souveniers,Da Cunha,Daniel,+33 1 46 62 7555,27 rue du Colonel Pierre Avia,Paris,,75508,France
1,Alpha Cognac,Roulet,Annette,61.77.6555,1 rue Alsace-Lorraine,Toulouse,,31000,France
77,Souveniers And Things Co.,Huxley,Adrian,+61 2 9495 8555,"Monitor Money Building, 815 Pacific Hwy",Chatswood,NSW,2067,Australia
81,Technics Stores Inc.,Hirano,Juri,6505556809,9408 Furth Circle,Burlingame,CA,94217,USA
79,Suominen Souveniers,Suominen,Kalle,+358 9 8045 555,"Software Engineering Center, SEC Oy",Espoo,,FIN-02271,Finland
56,Mini Creations Ltd.,Tam,Wing C,5085559555,4575 Hillside Dr.,New Bedford,MA,50553,USA
87,Toys4GrownUps.com,Young,Julie,6265557265,78934 Hillside Dr.,Pasadena,CA,90003,USA
23,Collectables For Less Inc.,Nelson,Allen,6175558555,7825 Douglas Av.,Brickhaven,MA,58339,USA
3,"Anna's Decorations, Ltd",O'Hara,Anna,02 9936 8555,201 Miller Street,North Sydney,NSW,2060,Australia
75,Signal Collectibles Ltd.,Taylor,Sue,4155554312,2793 Furth Circle,Brisbane,CA,94217,USA
65,"Oulu Toy Supplies, Inc.",Koskitalo,Pirkko,981-443655,Torikatu 38,Oulu,,90110,Finland
7,"Australian Gift Network, Co",Calaghan,Tony,61-7-3844-6555,31 Duncan St. West End,South Brisbane,Queensland,4101,Australia
15,Boards & Toys Co.,Young,Leslie,3105552373,4097 Douglas Av.,Glendale,CA,92561,USA
86,"Toys of Finland, Co.",Karttunen,Matti,90-224 8555,Keskuskatu 45,Helsinki,,21240,Finland
24,Corporate Gift Ideas Co.,Brown,Julie,6505551386,7734 Strong St.,San Francisco,CA,,USA
51,"Men 'R' US Retailers, Ltd.",Chandler,Michael,2155554369,6047 Douglas Av.,Los Angeles,CA,,USA
41,Heintze Collectables,Ibsen,Palle,86 21 3555,Smagsloget 45,Aaarhus,,8200,Denmark
53,Mini Auto Werke,Mendel,Roland,7675-3555,Kirchgasse 6,Graz,,8010,Austria
35,FunGiftIdeas.com,Benitez,Violeta,5085552555,1785 First Street,New Bedford,MA,50553,USA
74,Scandinavian Gift Ideas,Larsson,Maria,0695-34 6555,?kergatan 24,Boras,,S-844 67,Sweden
67,Quebec Home Shopping Network,Fresnisre,Jean,(514) 555-8054,43 rue St. Laurent,Montreal,Quebec,H1J 1C3,Canada
36,Gift Depot Inc.,King,Julie,2035552570,25593 South Bay Ln.,Bridgewater,CT,97562,USA
44,L'ordine Souveniers,Moroni,Maurizio,0522-556555,Strada Provinciale 124,Reggio Emilia,,42100,Italy
16,CAF Imports,Fernandez,Jesus,+34 913 728 555,"Merchants House, 27-30 Merchant's Quay",Madrid,,28023,Spain
27,Daedalus Designs Imports,Rance,Martine,20.16.1555,"184, chausse de Tournai",Lille,,59000,France
42,Herkku Gifts,Oeztan,Veysel,+47 2267 3215,"Drammen 121, PR 744 Sentrum",Bergen,,N 5804,Norway
19,"Classic Gift Ideas, Inc",Cervantes,Francisca,2155554695,782 First Street,Philadelphia,PA,71270,USA
43,"Iberia Gift Imports, Corp.",Roel,Jose Pedro,(95) 555 82 82,"C/ Romero, 33",Sevilla,,41101,Spain
31,"Double Decker Gift Stores, Ltd",Hardy,Thomas,(171) 555-7555,120 Hanover Sq.,London,,WA1 1DP,UK
85,"Toms Spezialitten, Ltd",Pfalzheim,Henriette,0221-5554327,Mehrheimerstr. 369,Koln,,50739,Germany
5,"Australian Collectables, Ltd",Connery,Sean,61-9-3844-6555,7 Allen Street,Glen Waverly,Victoria,3150,Australia
73,"Saveley & Henriot, Co.",Saveley,Mary,78.32.5555,"2, rue du Commerce",Lyon,,69004,France
55,Mini Classics,Frick,Steve,9145554562,3758 North Pendale Street,White Plains,NY,24067,USA
80,Super Scale Inc.,Murphy,Leslie,2035559545,567 North Pendale Street,New Haven,CT,97823,USA
92,West Coast Collectables Co.,Thompson,Steve,3105553722,3675 Furth Circle,Burbank,CA,94019,USA
18,Canadian Gift Exchange Network,Tannamuri,Yoshi,(604) 555-3392,1900 Oak St.,Vancouver,BC,V3F 2K1,Canada
30,Diecast Collectables,Franco,Valarie,6175552555,6251 Ingle Ln.,Boston,MA,51003,USA
64,Osaka Souveniers Co.,Kentary,Mory,+81 06 6342 5555,"Dojima Avanza 4F, 1-6-20 Dojima, Kita-ku",Osaka,Osaka,530-0003,Japan
9,Auto Canal Petit,Perrier,Dominique,(1) 47.55.6555,"25, rue Lauriston",Paris,,75016,France
8,Auto Assoc. & Cie.,Tonini,Daniel,30.59.8555,"67, avenue de l'Europe",Versailles,,78000,France
40,Handji Gifts& Co,Victorino,Wendy,+65 224 1555,Village Close - 106 Linden Road Sandown,Singapore,,69045,Singapore
21,"Clover Collections, Co.",Cassidy,Dean,+353 1862 1555,25 Maiden Lane,Dublin,,2,Ireland
66,Petit Auto,Dewey,Catherine,(02) 5554 67,Rue Joseph-Bens 532,Bruxelles,,B-1180,Belgium
22,Collectable Mini Designs Co.,Thompson,Valarie,7605558146,361 Furth Circle,San Diego,CA,91217,USA
89,"Vida Sport, Ltd",Holz,Michael,0897-034555,Grenzacherweg 237,Gensve,,1203,Switzerland
17,Cambridge Collectables Co.,Tseng,Kyung,6175555555,4658 Baden Av.,Cambridge,MA,51247,USA
39,giftsbymail.co.uk,Bennett,Helen,(198) 555-8888,Garden House Crowther Way,Cowes,Isle of Wight,PO31 7PJ,UK
82,Tekni Collectables Inc.,Brown,William,2015559350,7476 Moss Rd.,Newark,NJ,94019,USA
70,"Royal Canadian Collectables, Ltd.",Lincoln,Elizabeth,(604) 555-4555,23 Tsawassen Blvd.,Tsawassen,BC,T2F 8M4,Canada
54,Mini Caravy,Citeaux,Frederique,88.60.1555,"24, place Kluber",Strasbourg,,67000,France
52,Microscale Inc.,Kuo,Kee,2125551957,5290 North Pendale Street,NYC,NY,10022,USA
83,The Sharp Gifts Warehouse,Frick,Sue,4085553659,3086 Ingle Ln.,San Jose,CA,94217,USA
88,"UK Collectables, Ltd.",Devon,Elizabeth,(171) 555-2282,Berkeley Gardens 12  Brewery,Liverpool,,WX1 6LT,UK
84,"Tokyo Collectables, Ltd",Shimamura,Akiko,+81 3 3584 0555,2-2-8 Roppongi,Minato-ku,Tokyo,106-0032,Japan
38,Gifts4AllAges.com,Yoshido,Juri,6175559555,8616 Spinnaker Dr.,Boston,MA,51003,USA
29,Diecast Classics Inc.,Yu,Kyung,2155551555,7586 Pompton St.,Allentown,PA,70267,USA
46,La Rochelle Gifts,Labrune,Janine,40.67.8555,"67, rue des Cinquante Otages",Nantes,,44000,France
63,Online Mini Collectables,Barajas,Miguel,6175557555,7635 Spinnaker Dr.,Brickhaven,MA,58339,USA
2,Amica Models & Co.,Accorti,Paolo,011-4988555,Via Monte Bianco 34,Torino,,10100,Italy
61,"Norway Gifts By Mail, Co.",Klaeboe,Jan,+47 2212 1555,"Drammensveien 126 A, PB 744 Sentrum",Oslo,,N 0106,Norway
50,Marta's Replicas Co.,Hernandez,Marta,6175558555,39323 Spinnaker Dr.,Cambridge,MA,51247,USA
