,CUSTOMERID,CUSTOMERNAME,CONTACTLASTNAME,CONTACTFIRSTNAME,PHONE,LOCATIONID
0,62,Online Diecast Creations Co.,Young,Valarie,6035558647,1
1,14,"Blauer See Auto, Co.",Keitel,Roland,+49 69 66 90 2555,1
2,90,Vitachrome Inc.,Frick,Michael,2125551500,1
3,12,Baane Mini Imports,Bergulfsen,Jonas,07-98 9555,1
4,34,Euro Shopping Channel,Freyre,Diego,(91) 555 94 44,2
5,28,Danish Wholesale Imports,Petersen,Jytte,31 12 3555,2
6,69,Rovelli Gifts,Rovelli,Giovanni,035-640555,2
7,47,Land of Toys Inc.,Yu,Kwai,2125557818,2
8,26,Cruz & Sons Co.,Cruz,Arnold,+63 2 555 3587,3
9,59,Motor Mint Distributors Inc.,Hernandez,Rosa,2155559857,8
10,11,"AV Stores, Co.",Ashworth,Victoria,(171) 555-1555,16
11,58,Mini Wheels Co.,Murphy,Julie,6505555787,27
12,91,"Volvo Model Replicas, Co",Berglund,Christina,0921-12 3555,81
13,57,Mini Gifts Distributors Ltd.,Nelson,Valarie,4155551450,3
14,45,"La Corne D'abondance, Co.",Bertrand,Marie,(1) 42.34.2555,8
15,20,Classic Legends Inc.,Hernandez,Maria,2125558493,16
16,71,Royale Belge,Cartrain,Pascale,(071) 23 67 2555,27
17,32,"Dragon Souveniers, Ltd.",Natividad,Eric,+65 221 7555,81
18,33,Enaco Distributors,Saavedra,Eduardo,(93) 203 4555,4
19,72,Salzburg Collectables,Pipps,Georg,6562-9555,4
20,6,"Australian Collectors, Co.",Ferguson,Peter,03 9520 4555,4
21,68,Reims Collectables,Henriot,Paul,26.47.1555,4
22,49,Marseille Mini Autos,Lebihan,Laurence,91.24.4555,4
23,4,Atelier graphique,Schmitt,Carine,40.32.2555,4
24,76,Signal Gift Stores,King,Sue,7025551838,4
25,25,"Corrida Auto Replicas, Ltd",Sommer,Mart¡n,(91) 555 22 82,4
26,60,Muscle Machine Inc,Young,Jeff,2125557413,4
27,78,"Stylish Desk Decors, Co.",Brown,Ann,(171) 555-0297,4
28,10,Auto-Moto Classics Inc.,Taylor,Leslie,6175558428,4
29,37,Gift Ideas Corp.,Lewis,Dan,2035554407,4
30,48,Lyon Souveniers,Da Cunha,Daniel,+33 1 46 62 7555,4
31,1,Alpha Cognac,Roulet,Annette,61.77.6555,4
32,77,Souveniers And Things Co.,Huxley,Adrian,+61 2 9495 8555,4
33,81,Technics Stores Inc.,Hirano,Juri,6505556809,4
